t,pose,hand_l,hand_r,v_wrist_l,v_wrist_r,v_index_l,v_index_r,v_avg
23.5,False,False,False,0.0,0.0,0.0,0.0,0.0
23.6,False,False,False,0.0,0.0,0.0,0.0,0.0
23.7,False,False,False,0.0,0.0,0.0,0.0,0.0
23.8,False,False,False,0.0,0.0,0.0,0.0,0.0
23.9,False,False,False,0.0,0.0,0.0,0.0,0.0
24.0,False,False,False,0.0,0.0,0.0,0.0,0.0
24.1,False,False,False,0.0,0.0,0.0,0.0,0.0
24.2,False,False,False,0.0,0.0,0.0,0.0,0.0
24.3,False,False,False,0.0,0.0,0.0,0.0,0.0
24.4,False,False,False,0.0,0.0,0.0,0.0,0.0
24.5,False,False,False,0.0,0.0,0.0,0.0,0.0
24.6,False,False,False,0.0,0.0,0.0,0.0,0.0
24.7,False,False,False,0.0,0.0,0.0,0.0,0.0
24.8,False,False,False,0.0,0.0,0.0,0.0,0.0
24.9,False,False,False,0.0,0.0,0.0,0.0,0.0
25.0,False,False,False,0.0,0.0,0.0,0.0,0.0
25.1,False,False,False,0.0,0.0,0.0,0.0,0.0
